,;utc_timestamp;price
922,922;95891;42.51
923,923;95892;39.02
924,924;95893;37.5
925,925;95894;37.44
926,926;95895;40.82
927,927;95896;41.91
928,928;95897;41.96
929,929;95898;39.15
930,930;95899;40.86
931,931;95900;35.0
932,932;95901;32.46
933,933;95902;31.24
934,934;95903;29.0
935,935;95904;25.98
936,936;95905;24. Feb
937,937;95906;23.95
938,938;95907;20. Mrz
939,939;95908;20.55
940,940;95909;23.25
941,941;95910;23. Aug
942,942;95911;24.13
943,943;95912;28.49
944,944;95913;31. Aug
945,945;95914;31.86
946,946;95915;33.77
947,947;95916;33.0
948,948;95917;32.35
949,949;95918;35.02
950,950;95919;41.92
951,951;95920;43.67
952,952;95921;50.03
953,953;95922;45.12
954,954;95923;40.17
955,955;95924;39.94
956,956;95925;34.72
957,957;95926;34.94
958,958;95927;31.4
959,959;95928;30.58
960,960;95929;28.44
961,961;95930;28.95
962,962;95931;28. Aug
963,963;95932;27.56
964,964;95933;27.94
965,965;95934;26.16
966,966;95935;26.51
967,967;95936;26.84
968,968;95937;29.51
969,969;95938;29.75
970,970;95939;30.42
971,971;95940;29. Mrz
972,972;95941;25. Jan
973,973;95942;24. Jan
974,974;95943;24. Jul
975,975;95944;34.57
976,976;95945;32.83
977,977;95946;34.07
978,978;95947;32.9
979,979;95948;32.01
980,980;95949;29. Sep
981,981;95950;30.44
982,982;95951;25.92
983,983;95952;23.98
984,984;95953;28.82
985,985;95954;28.24
986,986;95955;27.49
987,987;95956;26. Jun
988,988;95957;28.78
989,989;95958;43.7
990,990;95959;57.36
991,991;95960;47.93
992,992;95961;50.09
993,993;95962;52.32
994,994;95963;59.54
995,995;95964;53.91
996,996;95965;63.67
997,997;95966;63.81
998,998;95967;56.29
999,999;95968;70.25
1000,1000;95969;80.62
1001,1001;95970;65.2
1002,1002;95971;57.18
1003,1003;95972;46.96
1004,1004;95973;37.73
1005,1005;95974;35.07
1006,1006;95975;33.33
1007,1007;95976;35.88
1008,1008;95977;33.04
1009,1009;95978;33.04
1010,1010;95979;33.02
1011,1011;95980;34.97
1012,1012;95981;32.84
1013,1013;95982;47.41
1014,1014;95983;49.9
1015,1015;95984;54.39
1016,1016;95985;58.12
1017,1017;95986;62.76
1018,1018;95987;60.09
1019,1019;95988;58.0
1020,1020;95989;59.39
1021,1021;95990;59.6
1022,1022;95991;61.6
1023,1023;95992;63.02
1024,1024;95993;70.42
1025,1025;95994;60.09
1026,1026;95995;57.76
1027,1027;95996;45.66
1028,1028;95997;40.19
1029,1029;95998;37.02
1030,1030;95999;32.53
1031,1031;96000;33.09
1032,1032;96001;33.28
1033,1033;96002;33.0
1034,1034;96003;32.64
